Nama Outlet;Alamat;Kecamatan;Kota;has_shopee;has_gofood;has_grabfood
KY007 - Kebuli Yaman Cibubur;Jl. Lap. Tembak No. 11B, RT 003 RW 021 Cibubur, Kecamatan Ciracas, Kota Jakarta Timur DKI Jakarta. 13720;Ciracas;Jakarta Timur;Yes;Yes;Yes
KY009 - Kebuli Yaman Cipinang;Jl. Cipinang Jaya Raya No. 31 Cipinang Besar Selatan, Kecamatan Jatinegara, Kota Jakarta Timur. DKI Jakarta. 13410;Jatinegara;Jakarta Timur;Yes;Yes;Yes
KY023 - Kebuli Yaman Pondok Kelapa;Jl. Raya Pondok Kelapa Blok A12/8D RT.005/011,Malaka Jaya Duren Sawit Jakarta Timur 13460;Duren Sawit;Jakarta Timur;Yes;Yes;Yes
KY054 - Kebuli Yaman Jagakarsa;Jl. Moch Khafi II No.4 RT 07 / RT 03, Kel. Cipedak, Kec. Jagakarsa , Kota Jakarta Selatan , Daerah Khusus Ibukota Jakarta 12630;Jagakarsa;Jakarta Selatan;Yes;No;Yes
KY062 - Kebuli Yaman Kampung Baru;Jl. Panjang No.4, RT.3/RW.03, Sukabumi Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560;Kebon Jeruk;Jakarta Barat;No;Yes;Yes
Kebuli Yaman MCC LRT Jakarta;Jl. Pegangsaan Dua, RW.3, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250;Kelapa Gading;Jakarta Utara;No;Yes;No
Kebuli Yaman LRT Velodrome;Jl. Pegangsaan Dua RW 003, Kelurahan Pegangsaan Dua, Kecamatan Kelapa Gading, Jakarta Utara, DKI Jakarta 14250;Kelapa Gading;Jakarta Utara;No;Yes;No
KY010 - Kebuli Yaman Bogor Ciampea;Jl. Raya Cibanteng Kecamatan Ciampea Jawa Barat. 16620;Ciampea;Jawa Barat;Yes;Yes;Yes
KY012 - Kebuli Yaman Cibinong;Jl. Kol. Edy Yoso Martadipura No.1, RT.05/RW.05, Pakansari, Cibinong, Bogor, Jawa Barat 16915;Cibinong;Bogor;Yes;Yes;Yes
KY021 - Kebuli Yaman Cikeas;Jl. Letda Natsir No.11Cikeas Udik, Kec. Gn. Putri, Bogor, Jawa Barat 16966;Gunung Putri;Bogor;Yes;Yes;Yes
KY044 - Kebuli Yaman Pahlawan Bogor;Jl. Pahlawan No.35g, RT.01/RW.10, Kp. Parung Jambu, Bondongan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16131;Bogor Selatan;Kota Bogor;Yes;Yes;Yes
KY049 - Kebuli Yaman Bukit Dago;Ruko Grand, Jl. Bukit Dago Jl. Pendidikan No.1 Blok AA5, Rawakalong, Kec. Gn. Sindur, Kabupaten Bogor, Jawa Barat 16340;Gunung Sindur;Kabupaten Bogor;Yes;Yes;Yes
KY053 - Kebuli Yaman Cimanggu Bogor;Jl. Raya Taman Cimanggu No.17, RT.02/RW.02, Kedung Waringin, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164 (samping erafone);Tanah Sareal;Kota Bogor;Yes;Yes;Yes
KY066 - Kebuli Yaman Parung;Jl. H.Mawi, No-1, Warujaya, Kec. Parung, Kab. Bogor, Jawa Barat, 16330;Parung;Kabupaten Bogor;No;Yes;No
KY067 - Kebuli Yaman Metland;Ruko PTM Metland Transyogi, Jl. Kota Taman Metropolitan No.30, Cileungsi, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat 16820.;Cileungsi;Kabupaten Bogor;No;No;No
Kebuli Yaman Cilebut;Jl. Pendidikan no 8, Ruko Permata Residence 2 Blok Rk 3 no 17, Cilebut Barat, Kecamatan Sukaraja, Kabupaten Bogor, Jawa Barat 16710;Sukaraja;Kabupaten Bogor;No;No;No
